assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
316,20261034,-0.002584017744434286,0.005451138363412711,0.04034541342950277
317,20261035,-0.0021648454961555874,0.003247609151387554,0.013284961393264672
318,20261036,-0.009897102389305967,0.0026801971727241636,-0.0468142627690749
319,20261037,-0.014342370098531898,0.00031862146162087157,0.00546532927377056
320,20261038,-0.0015507456717915868,0.0038836449357371183,0.030015260909094028
321,20261039,-0.005659525878911609,0.0010080477325512538,-0.012940141761428806
322,20261040,-0.0007057553036746711,0.0029626969806608727,0.00283803913159038
323,20261041,-0.003989765631362996,0.0005225846198211315,-0.0216244851889533
324,20261042,-0.006437743279729791,0.0008274420322936793,-0.01694766872977371
325,20261043,-0.0032191611359446703,0.004400632470340726,-0.03553766478038321
326,20261044,-0.005864273638427342,0.0012260766153365799,0.005408308685154641
327,20261045,-0.002797062310622156,0.004073478431353861,0.03570606550194428
328,20261046,-0.0033304557890567743,0.001370249279653124,-0.031657577227125124
329,20261047,0.0009296990290017515,0.00468850598245274,-0.026467829228739373
330,20261048,-0.004744694772426339,0.0015740805117608891,0.02866194828947284
331,20261049,-0.005151457047333219,0.002282356645397665,-0.03322433925541678
332,20261050,-0.0006161358773306702,0.0033739484800805464,0.05672701296782856
333,20261051,-0.001394643354491576,0.00352380076623382,0.02066976571018279
334,20261052,-0.005636936955766059,0.0006807972717994826,0.013380877344140492
335,20261053,-0.005248463420324034,0.004772227827165354,-0.047567775031680325
336,20261054,-0.00356724389406482,0.0018289277687345562,0.023975738625114706
337,20261055,-0.003939633806621323,0.0023509927584230983,0.0005737051003988989
338,20261056,-0.004475176445033258,0.0034200710291996117,0.02082041364036151
339,20261057,0.001688186056194585,0.005892491945843292,-0.06505027673242693
340,20261058,-0.0040611106372605565,0.0025263141012825674,0.0065678417396875435
341,20261059,-0.0011253447898977864,0.004337826533007849,0.02419169711929839
342,20261060,-0.012652170113823802,0.0014382221854238875,-0.0007276210156355978
343,20261061,-0.0034138684070987857,0.00017532529077257664,-0.008385206151433164
344,20261062,-0.004887044188081946,0.0012550637542730891,0.018110037480611713
345,20261063,-0.0002614750352434303,0.005396569864955292,-0.019419889259567943
346,20261064,-0.001534307383320721,0.0028430776280683467,0.0013133390769862134
347,20261065,-0.000875627098833931,0.0029869299340665734,-0.04971811836418191
348,20261066,-0.007924877038534062,0.0006391704858536018,-0.014531573194694104
349,20261067,-0.0030762906687034075,0.0012463337632413474,0.027301418615641563
350,20261068,-0.011885972335031969,0.0005213208813310555,-0.015088442068847931
351,20261069,-0.006421512858668654,0.0015474510018272936,0.011137370876944436
352,20261070,0.0009270594764945184,0.0051656749798777435,0.007203012376382023
353,20261071,-0.004443967825007666,0.0013181484848697744,0.026405002707529487
354,20261072,-0.004185889056870451,0.0005618082499412314,-0.006950100347249085
355,20261073,-0.0028042793134104294,0.0036954550543769615,0.019565535786993694
356,20261074,-0.001118196695239826,0.003362539886616389,-0.04961410751848154
357,20261075,-0.0019694215889727307,0.003954876915604699,0.012754086214876696
358,20261076,-0.006922289302546902,0.0029010457926205158,-0.02818845862190884
359,20261077,-0.0010904497108390476,0.0044601001882697,0.036464523561665386
360,20261078,-0.003446419425699343,0.002473224864646184,0.03266578895759657
361,20261079,-0.0064012664482064885,0.002117284053776536,-0.0225825351557247
362,20261080,-0.005670823956948512,0.0006243553356454212,-0.005370406923618203
